Species,Taxon
MacQuarie Turtle,Reptile - Turtle - Freshwater
Magpie Goose,Avian - Waterbird
Magpie Lark,Avian - Other
Major Mitchell's Cockatoo,Avian - Other
Mallard Duck,Avian - Domestic/Feral/Exotic
Maned Duck,Avian - Waterbird
Marbled Frogmouth,Avian - Other
Marbled Gecko,Reptile - Lizard
Marbled Godwit,Avian - Seabird/Pelican
Marsh Snake,Reptile - Snake - Terrestrial
Mary River Turtle,Reptile - Turtle - Freshwater
Masked Booby,Avian - Seabird/Pelican
Masked Lapwing,Avian - Other
Masked Owl,Avian - Other
Melon-headed Whale,Eutherian - Marine mammal
Mistletoebird,Avian - Other
Mountain Brushtail Possum,Marsupial - Possum/Glider
Moustached Parrot,Avian - Domestic/Feral/Exotic
Murray River Turtle,Reptile - Turtle - Freshwater
Muscovy Duck,Avian - Domestic/Feral/Exotic
Musk Lorikeet,Avian - Other
Naked Treefrog,Amphibian - Native Frog
Nankeen Kestrel,Avian - Raptor
Nankeen Night Heron,Avian - Other
Nearshore Bottlenose,Eutherian - Marine mammal
New Holland Honeyeater,Avian - Other
New Zealand Fur Seal,Eutherian - Marine mammal
No Identification,Avian - Raptor
Noddy Tern,Avian - Seabird/Pelican
Noisy Friarbird,Avian - Other
Noisy Minor,Avian - Other
Noisy Pitta,Avian - Other
Northern Brown Bandicoot,Marsupial - Bandicoot
Northern Giant-Petrel,Avian - Seabird/Pelican
Northern Long-eared Bat,Eutherian - Bat - Microbat
Northern Quoll,Marsupial - Dasyurid
Northern Snapping Turtle,Reptile - Turtle - Freshwater
Olive Python,Reptile - Snake - Terrestrial
Olive Ridley Turtle,Reptile - Turtle - Marine
Olive Whistler,Avian - Other
Olive-backed Oriole,Avian - Other
Olive-Headed Sea Snake,Reptile - Snake - Marine
Oriental Cockoo,Avian - Other
Ornate Sea Snake,Reptile - Snake - Marine
Osprey,Avian - Raptor
Pacific Baza,Avian - Raptor
Pacific Black Duck,Avian - Waterbird
Painted Button-quail,Avian - Other
Painted Turtle,Reptile - Turtle - Freshwater
Pale-headed Rosella,Avian - Other
Peaceful Dove,Avian - Other
Peach-Faced Lovebird,Avian - Domestic/Feral/Exotic
Peacock,Avian - Domestic/Feral/Exotic
Peregrine Falcon,Avian - Raptor
Pheasant Coucal,Avian - Other
Pied Butcher Bird,Avian - Other
Pied Cormorant,Avian - Waterbird
Pied Currawong,Avian - Other
Pied Imperial-Pigeon,Avian - Other
Pied Oystercatcher,Avian - Seabird/Pelican
Pig,Eutherian - Domestic/ Feral
Pink-tongued Skink,Reptile - Lizard
Platypus,Monotreme
Plumed Whistling Duck,Avian - Waterbird
Powerful Owl,Avian - Other
Princess Parrot,Avian - Other
Providence Petrel,Avian - Seabird/Pelican
Purple Swamphen,Avian - Waterbird
Rainbow Bee-Eater,Avian - Other
Rainbow Lorikeet,Avian - Other
Red Backed Wren,Avian - Other
Red Kangaroo,Marsupial - Macropod
Red-Backed Fairy-Wren,Avian - Other
Red-bellied Black Snake,Reptile - Snake - Terrestrial
Red-Browed Finch,Avian - Other
Red-capped Robin,Avian - Other
Red-Chested Button-Quail,Avian - Other
Red-Collared Lorikeet,Avian - Other
Red-Eared Slider Turtle,Reptile - Turtle - Freshwater-Exotic
Red-Footed Booby,Avian - Seabird/Pelican
Red-Legged Pademelon,Marsupial - Macropod
Red-necked Pademelon,Marsupial - Macropod
Red-necked Wallaby,Marsupial - Macropod
Red-Rumped Parrot,Avian - Other
Red-tailed Black Cockatoo,Avian - Other
Red-Tailed Tropicbird,Avian - Seabird/Pelican
Regent Bowerbird,Avian - Other
Restless Flycatcher,Avian - Other
Ringtail Possum,Marsupial - Possum/Glider
Robust Velvet Gecko,Reptile - Lizard
Rock Dove,Avian - Domestic/Feral/Exotic
Rose-Crowned Fruit-Dove,Avian - Other
Rough-scaled Snake,Reptile - Snake - Terrestrial
Royal Spoonbill,Avian - Waterbird
Rufous Bettong,Marsupial - Macropod
Rufous Fantail,Avian - Other
Rufous Whistler,Avian - Other
Russet-Tailed Thrush,Avian - Other
Sacred Kingfisher,Avian - Other
Satin Bowerbird,Avian - Other
Saw-shelled Turtle,Reptile - Turtle - Freshwater
Scaly-Breasted Lorikeet,Avian - Other
Scarlet Honeyeater,Avian - Other
Scarlet-Sided Pobblebonk,Amphibian - Native Frog
Shingleback,Reptile - Lizard
Shining Bronze-Cuckoo,Avian - Other
Short Necked Turtle,Reptile - Turtle - Freshwater
Short-billed Corella,Avian - Other
Short-Finned Pilot Whale,Eutherian - Marine mammal
Short-tailed Shearwater,Avian - Seabird/Pelican
Shy Albatross,Avian - Seabird/Pelican
Silver Gull,Avian - Seabird/Pelican
Silvereye,Avian - Other
Small-eyed Snake,Reptile - Snake - Terrestrial
Small-Headed Sea Snake,Reptile - Snake - Marine
Snake-Necked Turtle,Reptile - Turtle - Freshwater
Sooty Owl,Avian - Other
Sooty Shearwater,Avian - Seabird/Pelican
Sooty Tern,Avian - Seabird/Pelican
Southern Boobook,Avian - Other
Southern Giant Petrel,Avian - Seabird/Pelican
Southern Hairy-Nosed Wombat,Marsupial - Wombat
Southern Myotis,Eutherian - Bat - Microbat
Spangled Drongo,Avian - Other
Spectacled Flying Fox,Eutherian - Bat - Flying Fox
Spectacled Monarch,Avian - Other
Spectacled Sea Snake,Reptile - Snake - Marine
Spine Tailed Sea Snake,Reptile - Snake - Marine
Spotless Crake,Avian - Other
Spotted Pardalote,Avian - Other
Spotted Python,Reptile - Snake - Terrestrial
Spotted Turtle Dove,Avian - Other
Spotted Turtle-Dove,Avian - Domestic/Feral/Exotic
Spotted-Tail Quoll,Marsupial - Dasyurid
Spur-Winged Plover,Avian - Other
Square Tailed Kite,Avian - Raptor
Squirrel Glider,Marsupial - Possum/Glider
Stokes Sea Snake,Reptile - Snake - Marine
Stoney-creek Frog,Amphibian - Native Frog
Straw-necked Ibis,Avian - Other
Striated Heron,Avian - Other
Striated Pardalote,Avian - Other
Stripe-Faced Dunnart,Marsupial - Dasyurid
Striped Marsh Frog,Amphibian - Native Frog
Striped Rocketfrog,Amphibian - Native Frog
Stubble Quail,Avian - Other
Sugar Glider,Marsupial - Possum/Glider
Sulphur-crested Cockatoo,Avian - Other
Superb Fruit-Dove,Avian - Other
Superb Parrot,Avian - Other
Swamp Harrier,Avian - Raptor
Swamp Rat,Eutherian - Rodent
Swamp Wallaby,Marsupial - Macropod
Tawny Frog Mouth,Avian - Other
Tawny Grassbird,Avian - Other
Thorny Devil,Reptile - Lizard
Tiger Snake,Reptile - Snake - Terrestrial
Topknot Pigeon,Avian - Other
Torresian Crow,Avian - Other
Tree Martin,Avian - Other
Turquoise Parrot,Avian - Other
Turtle Headed Sea Snake,Reptile - Snake - Marine
Tusked Frog,Amphibian - Native Frog
Two-Lined Dragon,Reptile - Lizard
Variegated Fairy-Wren,Avian - Other
Velvet Spotted Gecko,Reptile - Lizard
Verreaux;s Skink,Reptile - Lizard
Wall Skink,Reptile - Lizard
Wallaroo,Marsupial - Macropod
Water Python,Reptile - Snake - Terrestrial
Water Rat,Eutherian - Rodent
Water Skink,Reptile - Lizard
Wattlebird,Avian - Other
Wedge-tailed Eagle,Avian - Raptor
Wedge-tailed Shearwater,Avian - Seabird/Pelican
Welcome Swallow,Avian - Other
Western Red Kangaroo,Marsupial - Macropod
Westland Petrel,Avian - Seabird/Pelican
Whiptail Wallaby,Marsupial - Macropod
Whistling Kite,Avian - Raptor
Wandering Whistling-Duck,Avian - Waterbird
White Browed Scrub Wren,Avian - Other
White Fronted Tern,Avian - Seabird/Pelican
White Swan,Avian - Domestic/Feral/Exotic
White Tern,Avian - Seabird/Pelican
White Throated Nightjar,Avian - Other
White-Bellied Sea-Eagle,Avian - Seabird/Pelican
White-Breasted Woodswallow,Avian - Other
White-crowned Snake,Reptile - Snake - Terrestrial
White-faced Heron,Avian - Other
White-Faced Storm-Petral,Avian - Seabird/Pelican
White-headed Pigeon,Avian - Other
White-Lipped Treefrog,Amphibian - Native Frog
White-Necked Heron,Avian - Other
White-striped Free-tailed Bat,Eutherian - Bat - Microbat
White-Throated Honeyeater,Avian - Other
White-throated Needletail,Avian - Other
White-Throated Nightjar,Avian - Other
White-Throated Snapping Turtle,Reptile - Turtle - Freshwater
White-winged Chough,Avian - Other
Willie Wagtail,Avian - Other
Woma Python,Reptile - Snake - Terrestrial
Wompoo Pigeon,Avian - Other
Wonga Pigeon,Avian - Other
Wood Duck,Avian - Waterbird
Yellow Bellied Glider,Marsupial - Possum/Glider
Yellow-bellied Sea Snake,Reptile - Snake - Marine
Yellow-Bellied Sheathtail Bat,Eutherian - Bat - Microbat
Yellow-Billed Spoonbill,Avian - Waterbird
Yellow-faced Whip Snake,Reptile - Snake - Terrestrial
Yellow-footed Antechinus,Marsupial - Dasyurid
Yellow-Headed Snapping Turtle,Reptile - Turtle - Freshwater
Yellow-Spotted Monitor,Reptile - Lizard
Yellow-tailed Black-Cockatoo,Avian - Other
Yellow-Throated Scrubwren,Avian - Other
Z Do Not Use Butcher Bird,Avian - Other
Z Do Not Use Legless Lizard,Reptile - Lizard
Z Do Not Use Nightjar,Avian - Other
Zebra Finch,Avian - Other
Pink-eared Duck,Avian - Waterbird
Short-eared Mountain Possum,Marsupial - Possum/Glider
Common Diving Petrel,Avian - Seabird/Pelican
Spotted Harrier,Avian - Raptor
Varied Triller,Avian - Other
No identification,Avian - Other
Horsfield's Bronze-Cuckoo,Avian - Other
Leaden Flycatcher,Avian - Other
Yellow-faced Honeyeater,Avian - Other
Domestic Goose,Avian - Domestic/Feral/Exotic
Western Grey Kangaroo,Marsupial - Macropod
Mangrove Greygone,Avian - Other
Spine-bellied Sea Snake,Reptile - Snake - Marine
Little Lorikeet,Avian - Other
White Dove,Avian - Domestic/Feral/Exotic
Black-winged Stilt,Avian - Seabird/Pelican
Ornamental Snake,Reptile - Snake - Terrestrial
Eastern Tube Nosed Bat,Eutherian - Bat - Microbat
English Spotted Rabbit,Eutherian - Rodent
Golden-tailed gecko,Reptile - Lizard
White-cheeked Honeyeater,Avian - Other
Striped Honeyeater,Avian - Other
Children's Python,Reptile - Snake - Terrestrial
Saltwater Crocodile,Reptile - Crocodile
Cicadabird,Avian - Other
Risso's Dolphin,Eutherian - Marine mammal
Pale-Yellow Robin,Avian - Other
Great Skua,Avian - Seabird/Pelican
Slender-billed Prion,Avian - Seabird/Pelican
Jacky Winter,Avian - Other
Crimson-billed Concure,Avian - Domestic/Feral/Exotic
Ground Parrot,Avian - Other
Centralian Carpet Python,Reptile - Snake - Terrestrial
Java Sparrow,Avian - Domestic/Feral/Exotic
Superb Fairy Wren,Avian - Other
Proserpine Rock Wallaby,Marsupial - Macropod
Dusky Honeyeater,Avian - Other
Brush Cuckoo,Avian - Other
